start	end	text
321540	321880	因为
321880	325200	OK
325200	327640	可能谁需要避下门外
327640	330980	这Glock
330980	332100	为什么用Glock
332100	335360	可能是跟那个X的算法是有关的
335360	338720	因为它在去年9月份
338720	341720	揭露了Glock进行一个大模型的一个推荐
341720	345120	所以你用Glock去做这个事情是可以的
345120	350520	然后还有一个就是Skills的一个场景组合的一个推荐
350520	351620	比如说
351620	354500	我这边其实就是用
354500	357280	保育的
357280	359580	保育的Skills
359580	364920	那你把内容进行一个生成
364920	366720	或者一个图的生成
366720	369740	然后你去用
369740	372480	保育还是乔木的
372480	375200	X的X Publish
375200	379020	发布到X上
379020	380760	那当然还有一些
380760	383040	类似于还有小红书的
383040	385740	还有一些
385740	387940	微信公众号的
387940	391280	这些就是一个组合
391280	393640	那你把这个组合进行推荐
393640	394820	也是可以的
394820	396180	就相当于是一个
396180	398120	其实都写论文有点像
398120	400200	就是自己写论文很难
400200	401480	那你在别人
401480	403900	基础上去做一个二创
403900	404960	改一个点
404960	406540	就会比较简单
406540	407660	那下面的话
407660	409300	你就进行一些组合
409300	411000	别人也会觉得
411000	413360	所以它的创意难度
413360	414160	是从下
414160	416000	从简单到难
416000	418000	然后还有一些人
418000	419840	他是单个去推荐Skills
419840	422000	比如说单个去推荐项目
422000	424500	很多人会做
424500	426940	那单个推荐项目
426940	428940	又分纯文字的
428940	431340	文字加图文的
431340	435420	还有人是搞什么
435420	437460	我们弄了一个视频的
437460	438500	就很多
438500	440340	那视频的流量会更好
440340	441660	在X上
441660	444860	这就是Skills怎么去搞流量
446060	448020	然后这两个的话
448020	449860	我可以打开一下
453820	456220	这是第一个X的热点
457420	459980	它其实就是从
459980	461420	刚才说的
463380	465400	Glove COI去抓热点
465420	469140	我这个基本上是
469140	472140	抓12小时内的
472140	474320	因为为什么是12小时
474320	475040	这个可能
475040	477020	有一些经验值吧
477020	479120	然后去找
479120	480820	对应的Cute的一个推文
480820	481860	去找
481860	484060	那个互动量最高的
484060	487580	然后再用Cloud
487580	490140	就是OPUS4.6
490140	491500	然后去写推文
491500	493380	有一个选题
493380	496300	然后我自己会在这几个里面
496300	497100	超过5里面
497100	498220	5个里面去选
498220	500580	选其中的一两个
500580	501900	或者两三个
501900	503060	如果好的话
503060	506280	然后再用OPUS4.6去写
506280	507060	推文
507060	508100	这个写
508100	509900	你们可以自己按自己的来
509900	512380	然后你再返回Glock
512380	513660	去打分
513660	514860	因为Glock
514860	518640	它因为推荐算法是用的Glock
518640	523460	所以你就把它按照5个维度去进行打分
523460	525000	当然你也可以更多维度了
525000	527760	然后我会进行一个媒体分流
527760	530980	视频它会下载下来
530980	531780	加字幕
531780	532500	加水印
532500	535140	加图片会下载下来
535140	537500	如果是纯文字的
537500	539760	那我就会生成一些涂鸦图
539760	541940	就是比如说那一集
541940	544540	GPT图Image的一些图
544540	547980	然后我会推送Type4.0的API
547980	550180	我这边可以演示一下
550180	553960	这边可能是一个Cloud的一个画面
553960	558500	直接写推文
558500	563100	它会直接去掉Glock
563100	564120	去收集热点
564120	567260	这个我等一下
567260	569140	先介绍一下第二个吧
569140	572200	然后怎么安装
572200	573200	这些其实
573200	575440	应该是你直接丢
575440	577000	你这里都有的
577000	577620	安装依赖
577620	580980	你直接丢给你的agent
580980	581920	包括CC
581920	583460	包括CodeX
583460	585140	Cursor什么的都可以
585140	589240	然后第二个
589240	591440	Consent Flow
591440	596840	其实这个就是一键分发到
596840	598520	公众号小网书和推特
598520	604280	然后具体的依赖的工具
604280	605640	其实就这几个
605640	610820	其实就是宝玉的文章的渲染
610820	614820	就是我这边会基本上是提供文字
614820	616260	或者提供链接
616260	619520	或者提供一些视频的一些翻译稿
619520	622560	然后它会进行一个文字的一个创作
622560	624700	宝玉的一些skills
624700	627500	然后它会分发的话
627500	630600	分发的话是用这三个
630600	632280	巧木的
632280	633600	还有一些其他人的
633600	635080	一些包括微信的
635080	636240	还有小红书的
636240	637380	那封面的话
637380	639980	我最近是用的这一个
639980	642080	它是一个叙事的
642080	643580	那如果不是叙事的话
643580	646040	宝玉里面还有一些封面图的一些skills
646040	648340	这个你们可以逐情去弄
648340	650480	所以基本上是这样子
650480	652300	这个流程
652300	654020	怎么安装的话
654020	654720	最简单的
654720	655880	你就跟它说
655880	658920	让agrin车把这个项目去安装起来
658920	659580	就可以了
659580	661000	直接去安装就行了
661000	664260	给agrin车就行了
664260	666480	可以回到这边
666480	668080	它这边会继续
668080	670440	它先去找话题
670440	673440	然后再去找Q车的一个推文
673440	675920	找Q车的推文完了之后
675920	677300	然后它会有这个
677300	678500	就这里吧
678500	680320	这是我今天早上的
680320	682120	它会给到你五个话题
682120	684900	然后要Q车的是谁
684900	686220	它的浏览量是什么
686220	686540	它的
686540	688740	现在的时间是什么
688740	690000	它的媒体类型是什么
690000	692800	你只要选其中的几个
692800	695240	然后它会去写推文
695240	697920	它会根据那个分流
697920	701000	比如说它是T1是谱
701000	702540	T2是下载图片
702540	703980	T4是下载图片
703980	705280	那如果是视频的话
705280	707380	它有些会下载下来转译
707380	708580	直接去完成
708580	710100	这就是
710100	712540	然后它会弄到一个草稿
712540	716380	这个就是T4A
716380	717600	你直接
717600	719840	这个我是开了一个会员吧
719840	724580	然后它是支持媒体文字的上传
724580	725760	直接去生成
725760	728860	然后基本上是一键发送的
728860	731540	这个它会给到
731540	734660	它会直接推送到这里的草稿箱
734660	736460	比如说这个是之前的
736460	739860	然后这个是我已经发布的
739860	743060	这就是它已经发布的
743060	747140	前两天比较好的是
747140	749240	这个
749240	750940	这个
750940	752160	这个是
752160	754440	看一下这条
754440	756640	跑了可能4万多
756640	757600	然后浏览量
757600	759500	收藏300多
759500	760900	然后点赞200多
760900	764200	基本上是这样子
764200	764940	它是一个全
764940	766340	纯
766340	767100	纯自动
767100	768320	然后你点个push
768320	770520	点点个publish就可以了
770520	773620	然后第二个的话
773620	775400	这个它在弄
775400	777060	glob超时它会兜
777060	780940	然后这个是微信的
780940	784180	这边其实
784180	786480	可以简单
786480	790100	因为如果跑整个流程是太慢了
790100	793200	这就给它一个skills的名字
793200	794460	然后给它一个链接
794460	795440	给它一个要求
795440	797660	它会去抓内容
797660	802080	然后它会根据你进行一个内容确定
802080	803720	确定完了之后
803720	806220	它会去开始撰写文章
806220	809260	然后去去AI化
809260	812500	还是github吗
812500	813500	ok
813500	817500	等会啊
817500	823100	应该是cloud这里
823100	824340	cloud这里
824340	825180	抱歉
825180	828440	那刚才应该没
828440	833120	这边
833120	835760	这边就是刚才的那个
835760	838180	glob的整个流程
838180	841100	你可以告诉它
841100	842980	写推文
842980	844100	写完推文
844100	845940	它会自动去找话题
845940	847900	然后去找q车的一个推文
847900	850460	话题
850460	852000	q车的推文
852000	853500	以及它的fills
853500	854500	以及它的时间
854500	855940	以及它媒体类型
855940	858580	你只要选其中的一个话题
858580	860320	然后它会进行创作
860320	861800	创作完了之后
861800	863300	它会推送到菜的佛雷
863300	864220	有一个草稿
864220	865120	草稿
865120	866840	你只要可以一键点发布
866840	868520	就可以生产推文
868520	872120	然后第二个
872120	873860	第二个skills
873860	875620	其实就是一键分发到
875620	876780	三个平台
876780	877700	微信
877700	879400	公众号
879400	881740	微信公众号
881740	882880	微信公众号
882880	883480	小红书
883480	883940	x
883940	886020	生产文章的
886020	886920	这个是文章的
886920	888800	然后它会先
888800	890380	去抓内容
890380	892520	然后你内容进行一个确定
892520	894840	它会进行一个写文章
894840	896320	然后去AI化
896320	898140	然后给到你三个标题
898140	898880	进行选择
898880	900940	你选择其中之一
900940	902440	或者你自己有想法
902440	904180	然后它会进行一个创作
904180	905460	创作完了之后
905460	907800	它会根据每个小节
907800	909980	去生成对应的图
909980	912020	就用gp2
912020	912900	to image
912900	915320	根据你的小节里面的内容生成
915320	917880	然后它会生成一个
917880	919380	封面图
919380	921620	最后进行一个
921620	923420	推送到草稿箱
923420	924440	因为我小红书
924440	925100	现在不太弄
925100	927620	所以我只推送到微信和x
927620	930880	然后它会放到那个草稿箱里面
930880	933240	然后你只要点一键发布就可以了
933240	936760	所以基本上这两个skills都是这样子
936760	943420	我把这个搜一下
943420	952180	然后第三点
952180	956000	我重新工赏一下
956000	958480	桌面
958480	965140	然后第三点
965140	968320	第三点是怎么玩那个skills的一个集合战
968320	970700	就刚才其实说的
970700	973500	最新的一个skills
973500	975820	你在这个网站上
975820	979200	可以看到一些最新的一些skills
979200	981380	这些是一个论文趋势
981380	983020	这是它最近
983020	985920	弄的一些
985920	986820	这一周的
986820	988220	然后这是
988220	990660	最近的一个帧数榜
990660	993740	然后这是本周新增的
993740	996620	这些就是网页端
996620	997540	可以去看的
997540	999380	但我们其实揭露了
999380	999840	那个
999840	1002200	COI和MCP
1002200	1004560	你可以通过agent去搜
1004560	1007060	这边都可以直接去拿到
1009200	1010480	当然我们有plod
1010480	1013620	plod它会把全库的进行一个搜索
1013620	1018020	然后
1018020	1024980	然后大神的一些skills的推荐合集
1024980	1025880	比如说你
1025880	1028100	那个硅章它有很多skills
1028100	1030240	你把它进行整理
1030240	1031500	然后进行一个推荐
1031500	1034220	然后说明它的一些skills的
1034220	1035900	使用的那些场景
1035900	1038120	那么你就可以拿到流量
1039200	1043620	还有一些skills的场景的一些组合推荐
1043620	1044360	比如说这个
1044360	1046860	你在X上怎么去找乐点
1046860	1047800	怎么去找
1047800	1049060	怎么去写作
1049060	1051160	怎么去进行一件发布
1051160	1052420	它就是一个场景
1052420	1054560	就很多场景
1054560	1055860	可以进行一个组合的
1055860	1059560	你并不需要自己去做一些skills
1059560	1061620	这个就更简单了
1061620	1064540	你甚至直接让AI去告诉你
1064540	1066460	你有什么想法
1066460	1068540	然后你基于这些skills
1068540	1070260	能不能做一些组合
1070260	1071700	这些都可以去做
1071700	1075100	然后这个是skills的集合推荐
1075100	1076300	就是刚才说的
1076300	1077920	其实就是一些PPT skills
1077920	1081040	然后最后的
1081040	1083960	为什么这个可以去做一些FDE的
1083960	1087160	因为我在去做一些企业培训的时候
1087160	1090300	他们其实不太会用一些skills
1090300	1092700	他们甚至其实用豆包更多一些
1092700	1096400	你可以去用一些skills进行一些交付
1096400	1098720	因为skills它现在豆包
1098720	1100120	其实是支持安装的
1100120	1101760	你去看最近
1101760	1103440	动格的推文
1103440	1105640	其实就是skills降低
1105640	1107240	降的门槛更低
1107240	1109080	你的受众就更大
1109080	1111460	你就更能赚到钱
1111460	1114600	你可以把skills进行一个交付
1114600	1116400	那你不
1116400	1117900	它那个需求
1117900	1119600	没有现成的一个skills
1119600	1120380	怎么办
1120380	1122520	你可以先找找
1122520	1124160	对应有没有一些skills
1124160	1126880	在A军车skills
1126880	1127920	hub上
1127920	1129000	去先去找找
1129000	1130260	相应的一些skills
1130260	1134400	比如说PPT
1134400	1138740	那它会找到一些PPT的skills
1138740	1142940	这里会有个OpenDesign
1142940	1148600	还有这个扎拉章的FrontAid Slides
1148600	1150120	画素的Design
1150120	1151520	轨章的PPT skills
1151520	1153520	这些都可以找到
1153520	1158680	你可以基于它们改成某一个版本
1158680	1159660	进行一个out创
1159660	1161320	然后
1161320	1164860	包装成你的一些skills
1164860	1167540	因为它是加上了你的理解
1167540	1169040	所以是你的一些skills
1169040	1172300	所以这就是为什么skills
1172300	1173660	它本身是不赚钱的
1173660	1174180	因为skills
1174180	1176580	它本来就是一个开源的东西
1176580	1178400	你没办法
1178400	1179640	基于这个skills
1179640	1180900	它也能赚到钱
1180900	1185100	你只能去找到这个对应的
1185100	1186600	有客户
1186600	1188460	有交付的产品
1188460	1190520	你才能通过skills
1190520	1191640	赚到钱
1191640	1193580	你可以把skills
1193580	1194780	作为你的产品
1194780	1196800	但是你前提
1196800	1198360	你是要有一个客户
1198360	1201840	所以基本上可以去做
1201840	1203680	在别人上面去做out创
1203680	1204700	或者组合推荐
1204700	1207560	像之前我做企业培训的时候
1207560	1212220	像他们跨境电力的一些提供商
1212220	1214120	那他们会有一些
1214120	1215300	LinkedIn的一个需求
1215300	1218700	他们甚至不知道一些
1218700	1222400	LinkedIn有一个MCP
1222400	1225040	那基于LinkedIn MCP
1225040	1227500	就可以去抓到一些
1227500	1228580	这个没有命中
1228580	1230520	可能有点问题
1230520	1231940	修一下
1231940	1233440	AI修一下
1233440	1235760	LinkedIn其实有一个MCP
1235760	1237900	MCP它可以去抓到
1237900	1240280	用户的一个资料
1240280	1242980	以及它的一个最新的一些推文
1242980	1244620	它的一个发布评论
1244620	1245680	都可以拿到
1245680	1248700	你可以基于他们这个需求
1248700	1250280	去找到一个对应的skills
1250280	1253320	然后把这个东西交付给他们
1253320	1256840	在他们的需求基础上
1256840	1259080	再做一些定制化
1259080	1259900	就可以了
1259900	1261820	就可以进行交付了
1261820	1266500	所以基本上差不多这几个点
1266500	1269820	我不知道说的有没有问题
1269820	1272820	这也是我第一次
1272820	1275000	做的一个第一次会议
1275000	1275300	对
1275300	1277260	大家有什么
1277260	1278820	如果有些其他问题
1278820	1279880	可以交流的话
1279880	1282580	也可以开卖交流
1282580	1283480	对
1283480	1292300	这是我的想法
1292300	1292600	为什么
1292600	1295340	然后那个agent可以做的事情
1295340	1297600	因为我最近其实看到
1297600	1301000	有很多人去玩agent市场
1301000	1303640	agent市场
1303640	1305120	其实就是不透明的东西
1305120	1310660	但是它相对于之前的
1310660	1312800	猪八戒来说
1312800	1315800	猪八戒那个都是什么
1315800	1318440	接单的平台
1318440	1320780	它会更透明
1320780	1323800	那agent可以降低
1323800	1328500	用户
1328500	1331520	和承接方的
1331520	1340920	因为用户他可以使用你已有的一个agent
1340920	1342380	然后去看效果
1342380	1344540	这个agent达不到你的效果
1344540	1346340	他会有一定的问题提出来
1346340	1347480	这些问题
1347480	1349720	它可以更好地让承接方
1349720	1351800	去做他们的一个定制化
1351800	1354600	所以我觉得agent市场
1354600	1359380	可能会成为之后的一个猪八戒的一个接单平台
1359380	1363200	这是我跟其他
1363200	1365560	因为现在的OKX
1365560	1367200	它也在做agent市场
1367200	1369860	Web2的有几家
1369860	1372020	也在做agent市场
1372020	1376100	我觉得这个可能是
1376100	1378200	agent市场会
1378200	1381240	FDE的接单
1381240	1382300	就或者
1382300	1384920	这是我的一个设想
1387920	1389280	这是我的一点设想
1389280	1391040	其他没有了
1391040	1391360	我
1391360	1393480	你们有问题问一下
1393480	1398280	好了
1398280	1399000	这个
1399000	1401800	因为我买了一个灯光的东西
1401800	1403740	1500
1403740	1404540	就是
1404540	1409280	反正别人推荐的
1409280	1414440	大家这么害羞吗
1414440	1422320	行
1422320	1423060	那我就
1423060	1424240	那我就结束了
1424240	1426440	你们不说我就结束了
1427440	1432340	反正第一次
1432340	1433240	反正后面还有
1433240	1434680	我大概每个月
1434680	1436440	每个每半个月
1436440	1437100	我会弄一次
1437100	1440040	好了
1440040	1440980	结束了
1440980	1443660	大家太安静了
1444440	1446200	没有人跟你聊天吗
1446200	1447280	我刚来
1447280	1449520	我已经讲完了
1449520	1452220	我刚刚跟美女聊天来着
1452220	1453400	然后忘了这个事了
1453400	1454360	没事
1454360	1455420	我已经讲完了
1455420	1456660	这个到时候
1456660	1459160	我会把回放放到
1459160	1459840	那个
1459840	1463280	那个会员中心吧
1463280	1464700	大家可以看
1464700	1467920	好
1467920	1468780	那结束了
1468780	1469120	拜拜
1469120	1470860	反正第一次
1470860	1471660	无所谓了
1471660	1483460	咖啲
1483460	1483620	你们
1483620	1484900	Espere
1484900	1485260	有
1485260	1485580	Cannes
1485580	1486580	我
1486580	1487700	没有
1487700	1488380	摇
1488380	1488420	老
1488420	1489280	Stuff
1489280	1489300	你们
